reaction	left_comp	right_comp	left_smiles	right_smiles
DM8974	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.CCC1C[NH+]2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CC[NH2+]4)O)O)OC)OC	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N.[H+].CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)O)OC)OC)OC
DM8975	a	b	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+].CC(CCC(=O)[O-])C1CCC2C1(CCC3C2C(=O)CC4C3(CCC(C4)O)C)C
DM8976	a	b	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.C1=CC=C(C=C1)C(=O)S	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N.CSC(=O)C1=CC=CC=C1
DM8977	a	b	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O.C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)OC(=O)C=CC6=CC=C(C=C6)O)O)O
DM8978	a	b	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O.C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O.C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O
DM8979	a	b	O.CC(=O)OC1C(C(OC1O)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O	CC(=O)[O-].[H+].C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
DM8980	a	b	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.O=O.[H+].CC=C(CO)C=C(C)C=C(C)C=CC=C(C)C(=O)C1=CC(NC1=O)CCO	O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.CC=C(CO)C=C(C)C=C(C)C=CC=C(C)C(=O)C12C(O1)C(NC2=O)CCO
DM8981	a	b	O=O.C(CC(=O)O)C(=O)C(=O)O.CSCCC(C(=O)O)N	C(=O)=O.C(CC(=O)[O-])C(=O)[O-].CS(=O)CCC(C(=O)O)N
DM8982	a	b	O.C(C(C(=O)O)N)SCSCC(C(=O)O)N	N.CC(=O)C(=O)[O-].C(C(C(=O)[O-])[NH3+])SCS
DM8983	a	b	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O.C1C2C(COC2C3=CC4=C(C=C3O)OCO4)C(O1)C5=CC6=C(C=C5)OCO6	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O.C1C2C(COC2C3=CC4=C(C=C3OC5C(C(C(C(O5)CO)O)O)O)OCO4)C(O1)C6=CC7=C(C=C6)OCO7
